2002-2003,Bournemouth
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
Arnaut Groeneveld,nl NED,"FW,MF",33,29,7,15,"2,489",27.7,1,0,/en/players/f08490a6/Arnaut-Groeneveld,f08490a6,Arnaut-Groeneveld
Junior Stanislas,eng ENG,"MF,FW",35,29,4,10,"2,422",26.9,1,0,/en/players/6992791d/Junior-Stanislas,6992791d,Junior-Stani
David Brooks,wls WAL,"FW,MF",32,25,5,5,"2,146",23.8,3,0,/en/players/dc4cae05/David-Brooks,dc4cae05,David-Brook
Philip Billing,dk DEN,MF,34,23,4,8,"2,070",23.0,9,0,/en/players/d328a254/Philip-Billing,d328a254,Philip-Billing
Diego Rico,es ESP,"DF,MF",32,23,3,1,"2,022",22.5,7,0,/en/players/d9ba39fc/Diego-Rico,d9ba39fc,Diego-Rico
Cameron Carter-Vickers,us USA,DF,21,21,0,1,"1,845",20.5,0,0,/en/players/88ced02c/Cameron-Carter-Vickers,88ced02c,Cameron-Carter-Vick
Chris Mepham,wls WAL,DF,24,20,0,1,"1,901",21.1,3,0,/en/players/fed96827/Chris-Mepham,fed96827,Chris-Mepham
Jack Stacey,eng ENG,"DF,MF",30,18,1,1,"1,711",19.0,1,0,/en/players/558807c0/Jack-Stacey,558807c0,Jack-Stac
Ben Pearson,eng ENG,MF,16,11,3,0,963,10.7,1,0,/en/players/a6b461e7/Ben-Pearson,6b461e7,Ben-Pearso
Jack Wilshere,eng ENG,MF,14,9,1,1,702,7.8,3,1,/en/players/9c318325/Jack-Wilshere,9c318325,Jack-Wilsh
Sam Surridge,eng ENG,"FW,MF",29,7,1,4,"1,028",11.4,2,0,/en/players/b017b770/Sam-Surridge,b017b770,Sam-Surridg
Dan Gosling,eng ENG,MF,15,7,1,2,774,8.6,2,0,/en/players/7fec31a0/Dan-Gosling,7fec31a0,Dan-Gosling
Jack Simpson,eng ENG,DF,9,6,0,0,555,6.2,0,0,/en/players/76fa5f80/Jack-Simpson,76fa5f80,Jack-Simpso
Joshua King,no NOR,FW,12,5,0,0,589,6.5,0,0,/en/players/43458538/Joshua-King,43458538,Joshua-King
Shane Long,ie IRL,FW,11,4,0,2,458,5.1,0,0,/en/players/9f472354/Shane-Long,9f472354,Shane-Long
Rodrigo Riquelme,es ESP,"MF,FW",16,2,0,1,339,3.8,1,0,/en/players/65154df0/Rodrigo-Riquelme,65154df0,Rodrigo-Riquelm
Mark Travers,ie IRL,GK,1,1,0,0,90,1.0,0,0,/en/players/fe558029/Mark-Travers,fe558029,Mark-Trav
Jaidon Anthony,eng ENG,"MF,FW",5,0,1,0,71,0.8,0,0,/en/players/e4238fb1/Jaidon-Anthony,4238fb1,Jaidon-Antho
Jordan Zemura,zw ZIM,"FW,DF",2,0,0,0,5,0.1,0,0,/en/players/e8271ad9/Jordan-Zemura,8271ad9,Jordan-Zemu
Ajani Burchall,bm BER,FW,1,0,0,0,4,0.0,0,0,/en/players/914477e2/Ajani-Burchall,914477e2,Ajani-Burch
Nnamdi Ofoborh,ng NGA,"MF,DF",3,0,0,0,3,0.0,0,0,/en/players/76bca47e/Nnamdi-Ofoborh,76bca47e,Nnamdi-Ofoborh
Gavin Kilkenny,ie IRL,MF,1,0,0,0,1,0.0,0,0,/en/players/3eeda7dd/Gavin-Kilkenny,3eeda7dd,Gavin-Kilk
Will Dennis,eng ENG,GK,0,0,,,,,,,/en/players/d8edc4be/Will-Dennis,d8edc4be,Will-Denni
Christian Saydee,lr LBR,MF,0,0,,,,,,,/en/players/af102dc3/Christian-Saydee,f102dc3,Christian-Sayd
﻿2021-2022,Bournemouth
Player,Nationality,Position,Game,Games Starts,Assists,Goals,Minutes,Minutes 90s,Yellow Card,Red Card,Link,Player_id,Player_name
﻿Dominic Solanke,eng ENG,FW,46,46,7,29,"4,086",45.4,6,0,/en/players/e77dc3b2/Dominic-Solanke,77dc3b2,Dominic-Solank
Mark Travers,ie IRL,GK,45,45,0,0,"4,050",45.0,3,0,/en/players/fe558029/Mark-Travers,fe558029,Mark-Trav
Lloyd Kelly,eng ENG,DF,41,40,1,1,"3,625",40.3,6,0,/en/players/f31def1e/Lloyd-Kelly,f31def1e,Lloyd-K
Jaidon Anthony,eng ENG,"FW,MF",45,38,6,8,"3,251",36.1,3,0,/en/players/e4238fb1/Jaidon-Anthony,4238fb1,Jaidon-Antho
Philip Billing,dk DEN,MF,40,37,10,10,"3,304",36.7,13,0,/en/players/d328a254/Philip-Billing,d328a254,Philip-Billing
Ryan Christie,sct SCO,"FW,MF",38,36,8,3,"2,997",33.3,6,0,/en/players/26ce2263/Ryan-Christie,26ce2263,Ryan-Christi
Jefferson Lerma,co COL,MF,34,33,3,1,"2,854",31.7,8,2,/en/players/9b5ce51a/Jefferson-Lerma,9b5ce51a,Jefferson-Lerm
Jordan Zemura,zw ZIM,DF,33,32,1,3,"2,912",32.4,6,0,/en/players/e8271ad9/Jordan-Zemura,8271ad9,Jordan-Zemu
Lewis Cook,eng ENG,MF,28,25,2,1,"2,173",24.1,5,0,/en/players/2afc7272/Lewis-Cook,2afc7272,Lewis-Cook
Jack Stacey,eng ENG,DF,25,24,2,0,"2,129",23.7,5,0,/en/players/558807c0/Jack-Stacey,558807c0,Jack-Stac
Gary Cahill,eng ENG,DF,22,21,1,0,"1,939",21.5,4,1,/en/players/7914b9fe/Gary-Cahill,7914b9fe,Gary-Cahi
Adam Smith,eng ENG,DF,20,20,2,0,"1,711",19.0,5,1,/en/players/20b104bc/Adam-Smith,20b104bc,Adam-Smith
Nathaniel Phillips,eng ENG,DF,17,17,0,0,"1,530",17.0,3,0,/en/players/515ebe8d/Nathaniel-Phillips,515ebe8d,Nathaniel-Philli
Gavin Kilkenny,ie IRL,MF,14,13,0,0,"1,096",12.2,4,0,/en/players/3eeda7dd/Gavin-Kilkenny,3eeda7dd,Gavin-Kilk
Chris Mepham,wls WAL,DF,22,12,0,0,"1,095",12.2,7,0,/en/players/fed96827/Chris-Mepham,fed96827,Chris-Mepham
Jamal Lowe,jm JAM,"FW,MF",34,9,2,7,"1,115",12.4,3,0,/en/players/b2856bc0/Jamal-Lowe,b2856bc0,Jamal-Low
Ben Pearson,eng ENG,MF,23,8,1,0,883,9.8,4,0,/en/players/a6b461e7/Ben-Pearson,6b461e7,Ben-Pearso
Emiliano Marcondes,dk DEN,"MF,FW",17,8,1,2,789,8.8,2,0,/en/players/4d960fc3/Emiliano-Marcondes,4d960fc3,Emiliano-Marcond
Todd Cantwell,eng ENG,MF,11,8,0,0,639,7.1,2,0,/en/players/f63d8a4b/Todd-Cantwell,f63d8a4b,Todd-Cantw
Leif Davis,eng ENG,"DF,FW",12,7,1,0,574,6.4,0,0,/en/players/8574c61f/Leif-Davis,8574c61f,Leif-Davi
David Brooks,wls WAL,"FW,MF",7,7,0,1,500,5.6,3,1,/en/players/dc4cae05/David-Brooks,dc4cae05,David-Brook
Siriki Dembélé,ci CIV,"FW,MF",13,4,1,2,527,5.9,0,0,/en/players/11f54bd5/Siriki-Dembele,11f54bd5,Siriki-Demb
Ethan Laird,eng ENG,DF,6,4,0,0,375,4.2,0,0,/en/players/8267f8d4/Ethan-Laird,8267f8d4,Ethan-Laird
Zeno Ibsen Rossi,eng ENG,DF,4,3,1,0,274,3.0,0,0,/en/players/ce7c1536/Zeno-Ibsen-Rossi,ce7c1536,Zeno-Ibsen-Rossi
Steve Cook,eng ENG,DF,3,3,0,0,245,2.7,1,0,/en/players/3e5e4e63/Steve-Cook,3e5e4e63,Steve-Cook
Robbie Brady,ie IRL,"DF,MF",6,2,0,0,194,2.2,0,0,/en/players/96bb8cc2/Robbie-Brady,96bb8cc2,Robbie-Brad
Junior Stanislas,eng ENG,MF,7,2,2,0,180,2.0,0,0,/en/players/6992791d/Junior-Stanislas,6992791d,Junior-Stani
Morgan Rogers,eng ENG,"MF,FW",15,1,0,1,231,2.6,0,0,/en/players/2e5915f1/Morgan-Rogers,2e5915f1,Morgan-Rog
Ørjan Nyland,no NOR,GK,1,1,0,0,90,1.0,0,0,/en/players/bdedffac/Orjan-Nyland,bdedffac,Orjan-Nyland
Kieffer Moore,wls WAL,"MF,FW",4,0,0,4,87,1.0,0,0,/en/players/01ce9e70/Kieffer-Moore,01ce9e70,Kieffer-Moo
James Hill,eng ENG,DF,1,0,0,0,2,0.0,0,0,/en/players/69942fb3/James-Hill,69942fb3,James-Hi
Christian Saydee,lr LBR,FW,2,0,0,0,2,0.0,0,0,/en/players/af102dc3/Christian-Saydee,f102dc3,Christian-Sayd
Brennan Camp,sct SCO,DF,0,0,,,,,,,/en/players/378fc112/Brennan-Camp,378fc112,Brennan-Cam
Will Dennis,eng ENG,GK,0,0,,,,,,,/en/players/d8edc4be/Will-Dennis,d8edc4be,Will-Denni
Ryan Glover,eng ENG,MF,0,0,,,,,,,/en/players/20c3fd5e/Ryan-Glover,20c3fd5e,Ryan-Glov
Nathan Moriah-Welsh,gy GUY,MF,0,0,,,,,,,/en/players/2d65e004/Nathan-Moriah-Welsh,2d65e004,Nathan-Moriah-Welsh
Kyle Taylor,eng ENG,MF,0,0,,,,,,,/en/players/0bb6d386/Kyle-Taylor,0bb6d386,Kyle-Taylo
Freddie Woodman,eng ENG,GK,0,0,,,,,,,/en/players/19e50035/Freddie-Woodman,19e50035,Freddie-Woodm

